"ids","rel.ids","mzs","RTs","Int"
955,197,568.3088046296,269.8652721587,14745412
1438,197,292.1857098609,270.1440496445,9460544
2229,197,285.1597941056,270.8837732588,5626417.5
2272,197,257.6526880355,268.2705463228,5508673
2592,197,439.5495221708,270.0336893717,4825850.5
3064,197,569.312130146,269.9756164551,3994312
3836,197,439.8837665577,270.0764394124,3061497.25
425,198,357.1842334038,336.0478628249,30758294
1128,198,357.6852536716,338.1951246716,12181115
1611,198,713.360932083,336.366800944,8221932
3759,198,714.3642597879,336.1014325372,3144208.75
4108,198,358.1861352799,338.3697053886,2857542
426,199,305.1340820859,43.0398405166,30419374
468,199,219.0263276886,41.9538441591,27587350
2201,199,321.129001301,46.8970809099,5720444.5
2353,199,216.0863104731,42.6573002934,5286448.5
430,200,381.2268139737,618.2005186535,30219002
941,200,327.195113914,615.1157982236,15068200
1891,200,382.2302282882,618.2262028285,6764677
1940,200,403.20863037,618.1043613979,6592513.5
3578,200,328.1984549173,615.2089691162,3321101
432,201,295.1286722993,315.7130217779,30169660
2727,201,296.1320734936,315.6974454607,4561596
442,202,229.1544381685,54.3052153814,29564416
3427,202,230.1576294468,54.3415871121,3493311
443,203,99.0439907059,112.1443673954,29448772
447,204,195.1126909996,261.9911299206,29159296
3750,204,196.1159920849,261.9006779989,3153907.75
452,205,194.080982163,333.6100870768,28836656
1027,205,287.1387731438,333.3297300793,13607485
1943,205,212.0914926885,333.5765729632,6578385
2450,205,234.0733947171,333.5491164264,5135332.5
3710,205,195.0842713165,333.5915265765,3185177.5
456,206,322.1632975717,318.0434177944,28600698
1324,206,322.6648838101,318.0434755598,10390947
457,207,195.0871222486,322.6930921905,28548390
459,208,230.1021038257,79.8905830383,28363230
460,209,180.1016764991,306.0455772932,28221994
3870,209,181.1049988977,306.0799088251,3030451.25
461,210,201.0729163497,100.5356332646,28090120
462,211,322.5260700927,233.0240612495,28055270
995,211,322.8603761514,233.0232737773,14091444
463,212,170.0809458305,57.8878781075,28005556
4598,212,171.0842738725,57.8607520603,2522333
464,213,541.7649567227,273.0055525496,27929840
938,213,542.2664856802,273.0840840658,15143462
2098,213,347.1923883282,274.4802663894,6033354.5
2460,213,542.7677611954,273.1791473389,5111000.5
470,214,129.0544715627,252.4554139958,27483422
474,215,268.1039174671,95.3714206332,27186164
543,215,152.0565088629,95.3418638342,23260626
3987,215,269.1072654888,95.3160653796,2936034.75
476,216,314.1655836806,330.1618463425,27178188
1448,216,314.6673773049,330.1835523333,9388329
1610,216,322.163217915,329.7269272577,8438575
477,217,228.0322225726,57.8715481077,26979616
480,218,155.0101509173,49.5404761632,26895282
330,219,85.0283415667,55.8224038856,26468266
487,220,429.2108068207,307.7636545817,26100974
1170,220,429.7124472035,307.7380495425,11800994
490,221,144.0653874876,51.1314955423,25886318
1433,221,114.0549552546,54.5753517151,9471474
2314,221,152.0703984171,50.6636111681,5443201.5
2362,221,100.1119404617,52.1605744589,5326780.5
494,222,125.0708707153,127.0431986077,25517596
716,222,155.0813195753,125.8111208747,19336154
497,223,127.0154126186,51.751549312,25430874
498,224,415.283972179,683.980784946,25425920
1781,224,416.2874419481,683.9205308997,7204976.5
499,225,504.2450777559,302.7395717076,25381866
914,225,361.2078510468,302.4086750575,15624968
1389,225,243.6496063589,300.4373477754,9875785
1971,225,505.2480519248,302.6116718111,6476314.5
4609,225,362.2114329515,302.4191421118,2515643.25
500,226,158.0921946574,63.3006288438,25377404
502,227,265.1432004768,542.6819834155,25123086
1890,227,209.0806357167,542.7932150705,6770587
2978,227,266.1464475692,542.6829810509,4125398.5
503,228,111.0440198183,50.3437786102,25115218
1208,228,290.1232252026,50.9945796785,11455551
506,229,308.1852868528,524.9493059431,25061766
2796,229,309.1886827161,524.9381619408,4437033
509,230,251.1599074023,36.2846317745,25015530
1010,230,293.1817252029,37.2342885789,13911346
1140,230,413.2127267128,36.5400278455,12100501
3669,230,252.1631875177,36.3745989118,3225011.25
510,231,291.1631890358,343.7368124099,24997028
1617,231,291.6648516977,343.7332443964,8195423
513,232,275.1024337317,367.8788070679,24831078
3098,232,276.1058362617,367.8747584025,3950775
517,233,89.1072305542,36.1349150192,24500142
596,233,72.080801948,36.2489317961,21996506
519,234,355.1609534612,124.5136164711,24333090
3080,234,356.164600728,124.5176318032,3976678.25
522,235,217.0969327991,303.391956511,24161290
3755,235,218.100214489,303.4027771723,3150860.75
523,236,173.1395103471,60.0822449185,24082348
524,237,401.2683207646,676.0912308366,24071432
1972,237,402.2717332086,676.0494639079,6472895.5
525,238,357.2130008697,284.132060823,24033190
1064,238,215.6546655042,282.2845887684,12933119
1622,238,330.2021530394,280.3850490025,8163752
1825,238,504.266241822,283.8444559981,7035130.5
2948,238,358.2166495835,284.0457654411,4159295.75
4435,238,216.1564195885,282.5347228119,2631217.5
526,239,291.086328306,282.6427568708,23986586
3011,239,292.0896220769,282.6502456665,4081121.75
529,240,175.1075003007,56.8636135828,23732212
533,241,440.1759237704,50.6023415157,23650996
2970,241,441.1794233835,50.5805933816,4132830
534,242,106.0495813712,41.9482251988,23630784
583,243,73.0647929236,77.384756931,23628944
541,244,101.0960501923,890.1559810195,23574428
620,245,258.1084027165,66.2090911865,23121760
1213,245,112.0504666173,66.3076045014,11414731
548,246,245.0765962633,52.2434120632,23009074
1706,246,247.0921830629,52.4402070273,7605990.5
553,247,187.0711039232,60.0745780127,22923662
556,248,160.1329888853,62.4112740007,22866684
539,249,164.9842889343,562.4568978243,22827612
561,250,270.0735008245,48.635410763,22745770
568,251,180.0653210962,291.9931644258,22543212
569,252,227.1387111618,44.7091295966,22503180
570,253,131.0701419773,131.3512238791,22466322
1175,253,153.0519841078,131.2152973441,11714634
574,254,183.0860910182,43.9899672131,22412226
