"ids","rel.ids","mzs","RTs","Ints","relationship","isotope.pattern","charge"
8955,195,636.200674111768,199.65737697979,64896.3195444761,"potential bp|isotope",0,1
10826,245,741.549058819523,197.47551403268,44561.2554310345,"potential bp|isotope",2,1
6808,6904,311.258131636836,192.906812284847,101119.441295264,"bp",NA,NA
4770,232,501.433999455722,193.984911203674,167725.512148151,"potential bp|isotope",1,1
6172,195,635.204096213016,199.652180376504,117586.744544614,"potential bp|isotope",0,1
7538,245,740.545950750465,197.436403495274,86751.2852066485,"potential bp",2,1
9044,195,615.273150691252,199.862559060734,63906.0082801486,"potential bp|isotope",3,1
5265,195,620.228454173963,199.876764755226,146579.267726858,"bp|isotope",2,1
787,79,257.211455064268,182.295865440782,1493021.76449063,"potential bp",7,1
3908,195,614.274820472044,199.849881846051,223006.296533174,"potential bp|isotope",3,1
5473,280,624.540527866473,150.902221219714,138640.68982946,"bp",0,1
2732,195,634.201091328997,199.652266893455,352539.318397825,"potential bp",0,1
6413,24,894.277041782449,186.322929417299,110738.036847648,"potential bp|isotope",9,1
15864,4509,1074.28439260831,194.841411405772,18233.2027773326,"",NA,NA
711,24,855.231299856491,186.14262473237,1647471.29300731,"potential bp|isotope",14,1
12836,4649,658.224660319314,201.344301681225,30753.4015997863,"bp|isotope",0,1
2091,195,619.230424258322,199.95183188094,487528.359201193,"bp|isotope",2,1
11401,4649,657.226637057658,201.323265316031,39929.3710077626,"bp|isotope",0,1
16306,4509,1076.28410307082,194.810625534108,16643.3311611003,"",NA,NA
1327,195,613.27187854442,199.821918870257,826912.378932423,"",NA,NA
9079,4649,656.225699980389,201.332330509978,63441.6517000081,"bp",0,1
3070,232,521.360423462914,194.209407903239,303481.486382492,"potential bp",0,1
966,105,688.181280802248,187.249349520103,1174764.30231526,"potential bp",2,1
4048,248,688.18134610529,175.177985031053,212132.550612065,"bp|isotope",1,1
3018,4512,465.393914385217,194.102024064136,310316.567069211,"bp",0,1
5633,332,575.448914710574,204.655317721382,133138.742775884,"potential bp|isotope",2,1
13472,5661,839.197604444082,204.104520393448,27879.2344155474,"bp|isotope",0,1
7343,94,556.405690698071,205.809851691908,90170.3756403604,"potential bp|isotope",1,1
